Designator,Mid X,Mid Y,Layer,Rotation
C1,94.87,16.51,Top,270
C2,86.87,24.51,Top,180
C3,92.33,16.51,Top,270
C4,86.49,19.81,Top,180
C5,96.52,22.99,Top,90
C6,99.31,22.99,Top,90
C8,98.55,28.32,Top,270
C9,94.49,28.32,Top,90
C10,94.87,26.42,Top,0
C11,86.49,25.91,Top,180
C12,89.41,27.18,Top,0
C13,97.66,25.78,Top,0
C14,42.48,42.55,Top,180
C15,44.45,36.96,Top,180
C16,50.42,43.69,Top,0
C17,44.58,30.48,Top,90
C18,52.71,38.61,Top,270
C19,30.61,26.35,Top,90
C20,28.96,25.91,Top,90
C21,43.05,40.89,Top,270
C22,34.29,16.51,Top,270
C23,112.27,0.64,Top,0
C25,99.25,8.76,Top,90
C28,95.69,8.76,Top,90
D4,46.6,34.8,Top,0
D2,90.81,4.83,Top,0
D3,90.81,2.54,Top,0
IC1,92.08,21.72,Top,0
L1,97.92,22.48,Top,0
L2,39.37,32.38,Top,270
R1,41.91,40.89,Top,90
R2,44.58,43.69,Top,0
R3,42.48,43.69,Top,0
R4,111.19,6.86,Top,180
R5,113.35,6.86,Top,0
R6,86.87,22.61,Top,0
R7,98.11,8.76,Top,90
R8,89.79,8.26,Top,270
R9,91.82,8.26,Top,270
R10,94.55,8.77,Top,90
U$1,96.52,28.32,Top,180
U$2,112.27,2.41,Top,270
U$3,98.68,3.68,Top,270
U$5,95.12,3.68,Top,270
U1,47.5,40.39,Top,180
U2,31.24,20.32,Top,270
U3,76.33,18.8,Top,0
U$4,65.63,35.3,Top,180
J1,74.55,37.85,Top,270
J3,82.93,37.97,Top,180
J2,81.66,35.43,Top,180
